system,condition,target,n_human,n_generated,auroc
three_support,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9819856519108866
three_support,artifactbench__fmc_fit_only,artifactbench,860,1404,0.812422149340754
single_support,artifactbench__base,artifactbench,860,1404,0.943984794275492
single_support,echoes__base,echoes,59,742,0.9200968523002421
single_support,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9717318972092901
single_support,artifactbench__without_Suno,artifactbench,860,1404,0.9321904193997217
single_support,artifactbench__count_control_Suno,artifactbench,860,1404,0.9447318293248526
single_support,artifactbench__without_Udio,artifactbench,860,1404,0.8266373484396741
single_support,artifactbench__count_control_Udio,artifactbench,860,1404,0.9341747830119922
single_support,artifactbench__without_MusicGen,artifactbench,860,1404,0.9482102630358445
single_support,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9474922149340753
single_support,echoes__without_Suno,echoes,59,742,0.906322810544109
single_support,echoes__count_control_Suno,echoes,59,742,0.9178811275069669
single_support,echoes__without_Udio,echoes,59,742,0.8944675407739048
single_support,echoes__count_control_Udio,echoes,59,742,0.9248937822650647
single_support,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9692836147715616
single_support,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.972188083589784
single_support,artifactbench__without_StableAudio,artifactbench,860,1404,0.9389982110912344
single_support,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9478541376797192
single_support,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9434862187769164
single_support,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9441678261445702
single_support,echoes__without_StableAudio,echoes,59,742,0.8975512814655764
single_support,echoes__count_control_StableAudio,echoes,59,742,0.9145004340079492
single_support,echoes__without_AudioLDM,echoes,59,742,0.9044497236054639
single_support,echoes__count_control_AudioLDM,echoes,59,742,0.9129699849239343
single_support,echoes__without_DiffRhythm,echoes,59,742,0.9240486088903102
single_support,echoes__count_control_DiffRhythm,echoes,59,742,0.9074420942025676
single_support,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9733169599410821
single_support,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9699176727425761
single_support,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.954506957047792
single_support,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9698256135090351
single_support,artifactbench__fmc_fit_only,artifactbench,860,1404,0.8202030742728417
mean_pooling,artifactbench__base,artifactbench,860,1404,0.9433802093685815
mean_pooling,echoes__base,echoes,59,742,0.9366576819407008
mean_pooling,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9541817906836058
mean_pooling,artifactbench__without_Suno,artifactbench,860,1404,0.9122540250447226
mean_pooling,artifactbench__count_control_Suno,artifactbench,860,1404,0.9403854435831179
mean_pooling,artifactbench__without_Udio,artifactbench,860,1404,0.9259739614390777
mean_pooling,artifactbench__count_control_Udio,artifactbench,860,1404,0.9387745974955277
mean_pooling,artifactbench__without_MusicGen,artifactbench,860,1404,0.9612398959782679
mean_pooling,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9458834393427417
mean_pooling,echoes__without_Suno,echoes,59,742,0.9404038558179908
mean_pooling,echoes__count_control_Suno,echoes,59,742,0.9623440997761432
mean_pooling,echoes__without_Udio,echoes,59,742,0.9319407008086253
mean_pooling,echoes__count_control_Udio,echoes,59,742,0.925647585545251
mean_pooling,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9453796950209106
mean_pooling,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9524994081906415
mean_pooling,artifactbench__without_StableAudio,artifactbench,860,1404,0.959655966342013
mean_pooling,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9507453786523555
mean_pooling,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9659751209169813
mean_pooling,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9500070396872723
mean_pooling,echoes__without_StableAudio,echoes,59,742,0.9479875736671387
mean_pooling,echoes__count_control_StableAudio,echoes,59,742,0.9519850153044908
mean_pooling,echoes__without_AudioLDM,echoes,59,742,0.9479533098816758
mean_pooling,echoes__count_control_AudioLDM,echoes,59,742,0.9559025081090959
mean_pooling,echoes__without_DiffRhythm,echoes,59,742,0.9306957832701356
mean_pooling,echoes__count_control_DiffRhythm,echoes,59,742,0.9328544017543059
mean_pooling,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9364822522949051
mean_pooling,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9615214596649043
mean_pooling,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.948030672163918
mean_pooling,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9551208770614694
mean_pooling,artifactbench__fmc_fit_only,artifactbench,860,1404,0.7962586132644272
attention_pooling,artifactbench__base,artifactbench,860,1404,0.955264857881137
attention_pooling,echoes__base,echoes,59,742,0.9569190004111653
attention_pooling,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9517518378968408
attention_pooling,artifactbench__without_Suno,artifactbench,860,1404,0.923568044788975
attention_pooling,artifactbench__count_control_Suno,artifactbench,860,1404,0.9564939044590207
attention_pooling,artifactbench__without_Udio,artifactbench,860,1404,0.9157299741602068
attention_pooling,artifactbench__count_control_Udio,artifactbench,860,1404,0.9545882197044988
attention_pooling,artifactbench__without_MusicGen,artifactbench,860,1404,0.9535136321473531
attention_pooling,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9610713575829855
attention_pooling,echoes__without_Suno,echoes,59,742,0.9422769427566358
attention_pooling,echoes__count_control_Suno,echoes,59,742,0.96559915939513
attention_pooling,echoes__without_Udio,echoes,59,742,0.9339394216273014
attention_pooling,echoes__count_control_Udio,echoes,59,742,0.9135296267531636
attention_pooling,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9537914430942424
attention_pooling,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9567536133249164
attention_pooling,artifactbench__without_StableAudio,artifactbench,860,1404,0.9449016100178891
attention_pooling,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9588310806334062
attention_pooling,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9472826807129132
attention_pooling,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9603417147021799
