system,target,decoder_class,n_generated,n_human,auroc
clam,artifactbench,griffin_lim,130,860,0.898443649373882
clam,artifactbench,rvq_encodec,90,860,0.9873514211886305
clam,artifactbench,rvq_xcodec,100,860,0.9061976744186047
clam,artifactbench,unknown_proprietary,884,860,0.9268691465852889
clam,echoes,continuous_vae,155,59,0.8925095680699836
clam,echoes,mel_vae_hifigan,172,59,0.9903429247142295
clam,echoes,non_neural,32,59,0.6859110169491525
clam,echoes,rvq_xcodec,111,59,0.98244006718583
clam,echoes,unknown_proprietary,272,59,0.8252118644067797
clam,fakemusiccaps,continuous_vae,1104,1102,0.8104903140534996
clam,fakemusiccaps,mel_vae_hifigan,3312,1102,0.7772385736956083
clam,fakemusiccaps,rvq_encodec,1104,1102,0.868213097398669
musicdet,artifactbench,continuous_vae,200,860,0.7044011627906976
musicdet,artifactbench,griffin_lim,130,860,0.88
musicdet,artifactbench,rvq_encodec,90,860,0.6572480620155038
musicdet,artifactbench,rvq_xcodec,100,860,0.4584651162790698
musicdet,artifactbench,unknown_proprietary,884,860,0.7385154687993265
musicdet,echoes,continuous_vae,155,59,0.626571897211591
musicdet,echoes,mel_vae_hifigan,172,59,0.6199251083957429
musicdet,echoes,non_neural,32,59,0.659427966101695
musicdet,echoes,rvq_xcodec,111,59,0.8720415330584821
musicdet,echoes,unknown_proprietary,272,59,0.6106056829511467
musicdet,fakemusiccaps,continuous_vae,1104,1102,0.6404429364265235
musicdet,fakemusiccaps,mel_vae_hifigan,3312,1102,0.4756000563314834
musicdet,fakemusiccaps,rvq_encodec,1104,1102,0.5809011612614745
sofia_vag,artifactbench,continuous_vae,200,860,0.9837267441860464
sofia_vag,artifactbench,griffin_lim,130,860,0.9150626118067978
sofia_vag,artifactbench,rvq_encodec,90,860,0.9993152454780362
sofia_vag,artifactbench,rvq_xcodec,100,860,0.8861744186046511
sofia_vag,artifactbench,unknown_proprietary,884,860,0.9093299484373355
sofia_vag,echoes,continuous_vae,155,59,0.9597594313832696
sofia_vag,echoes,mel_vae_hifigan,172,59,0.9988175009854159
sofia_vag,echoes,non_neural,32,59,0.7807203389830508
sofia_vag,echoes,rvq_xcodec,111,59,1.0
sofia_vag,echoes,unknown_proprietary,272,59,0.8896435692921236
sofia_vag,fakemusiccaps,continuous_vae,1104,1102,0.9213477143007442
sofia_vag,fakemusiccaps,mel_vae_hifigan,3312,1102,0.9424747604268041
sofia_vag,fakemusiccaps,rvq_encodec,1104,1102,0.9624620255661642
comoe_dac,artifactbench,continuous_vae,200,860,0.9130232558139536
comoe_dac,artifactbench,griffin_lim,130,860,0.7301520572450806
comoe_dac,artifactbench,rvq_encodec,90,860,0.9191860465116279
comoe_dac,artifactbench,rvq_xcodec,100,860,0.873203488372093
comoe_dac,artifactbench,unknown_proprietary,884,860,0.8682442386614754
comoe_dac,echoes,continuous_vae,155,59,0.6440677966101696
comoe_dac,echoes,mel_vae_hifigan,172,59,0.9183090264091448
comoe_dac,echoes,non_neural,32,59,0.732521186440678
comoe_dac,echoes,rvq_xcodec,111,59,0.8760116048251643
comoe_dac,echoes,unknown_proprietary,272,59,0.7200897308075773
comoe_dac,fakemusiccaps,continuous_vae,1104,1102,0.737055814198164
comoe_dac,fakemusiccaps,mel_vae_hifigan,3312,1102,0.7718231070868075
comoe_dac,fakemusiccaps,rvq_encodec,1104,1102,0.6612614745258949
handcrafted,artifactbench,continuous_vae,200,860,0.9288197674418603
handcrafted,artifactbench,griffin_lim,130,860,0.8132558139534883
handcrafted,artifactbench,rvq_encodec,90,860,0.8954780361757106
handcrafted,artifactbench,rvq_xcodec,100,860,0.908279069767442
handcrafted,artifactbench,unknown_proprietary,884,860,0.8472758602546565
handcrafted,echoes,continuous_vae,155,59,0.7979223619464187
handcrafted,echoes,mel_vae_hifigan,172,59,0.9213638155301537
handcrafted,echoes,non_neural,32,59,0.7547669491525423
handcrafted,echoes,rvq_xcodec,111,59,0.6655978011910215
handcrafted,echoes,unknown_proprietary,272,59,0.7896311066799602
handcrafted,fakemusiccaps,continuous_vae,1104,1102,0.826587528604119
handcrafted,fakemusiccaps,mel_vae_hifigan,3312,1102,0.6690095193631255
handcrafted,fakemusiccaps,rvq_encodec,1104,1102,0.711365534338094
