system,trainer,pool,n_human,n_generated,auroc,in_corpus
specttra,fakemusiccaps,SONICS: YouTube full,2500,3614,0.5546571665744328,False
specttra,fakemusiccaps,AB: FMA mp3 30 s,148,3614,0.4114180589000733,False
specttra,fakemusiccaps,AB: MoM YouTube,347,3614,0.4075896011189275,False
specttra,fakemusiccaps,AB: SONICS YouTube,294,3614,0.4299078790342922,False
specttra,fakemusiccaps,AB: YouTube lossless,73,3614,0.35678411959578804,False
specttra,sonics,FMC: MusicCaps 10 s,1102,3614,0.244702492926781,False
specttra,sonics,Echoes: FMA 30 s,59,3614,0.24615197021001192,False
specttra,sonics,SONICS: YouTube full,2500,3614,0.3936926950747095,True
specttra,sonics,AB: FMA mp3 30 s,148,3614,0.20137621711362716,False
specttra,sonics,AB: MoM YouTube,155,3614,0.2804148740560901,False
specttra,sonics,AB: SONICS YouTube,294,3614,0.2761106656276235,False
specttra,sonics,AB: YouTube lossless,73,3614,0.2525812858669861,False
specttra_released,sonics,FMC: MusicCaps 10 s,1102,3614,0.6392803947544184,False
specttra_released,sonics,Echoes: FMA 30 s,59,3614,0.7005759147571122,False
specttra_released,sonics,AB: FMA mp3 30 s,150,3614,0.6846098505810736,False
specttra_released,sonics,AB: MoM YouTube,155,3614,0.6773265258760733,False
specttra_released,sonics,AB: SONICS YouTube,294,3614,0.6370200542862413,False
specttra_released,sonics,AB: YouTube lossless,73,3614,0.6005336931719113,False
fingerprint,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.758432371790687,False
fingerprint,artifactbench,Echoes: FMA 30 s,59,3614,0.7229981334358849,False
fingerprint,artifactbench,SONICS: YouTube full,6882,3614,0.7861203090374592,False
fingerprint,artifactbench,AB: FMA mp3 30 s,150,3614,0.7690739715919572,True
fingerprint,artifactbench,AB: MoM YouTube,347,3614,0.7854174208848395,True
fingerprint,artifactbench,AB: SONICS YouTube,294,3614,0.7745351599411209,True
fingerprint,artifactbench,AB: YouTube lossless,73,3614,0.7658459112583484,True
fingerprint,echoes,FMC: MusicCaps 10 s,1102,3614,0.7353709661057974,False
fingerprint,echoes,Echoes: FMA 30 s,59,3614,0.8432883419470422,True
fingerprint,echoes,SONICS: YouTube full,6882,3614,0.7580595305125358,False
fingerprint,echoes,AB: FMA mp3 30 s,150,3614,0.7353348090758163,False
fingerprint,echoes,AB: MoM YouTube,347,3614,0.7832085916281384,False
fingerprint,echoes,AB: SONICS YouTube,294,3614,0.7760579605389472,False
fingerprint,echoes,AB: YouTube lossless,73,3614,0.7419055272115289,False
fingerprint,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.870790844638264,True
fingerprint,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.8913453331207264,False
fingerprint,fakemusiccaps,SONICS: YouTube full,6882,3614,0.875593991978304,False
fingerprint,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.8851983028961445,False
fingerprint,fakemusiccaps,AB: MoM YouTube,347,3614,0.8869844935401712,False
fingerprint,fakemusiccaps,AB: SONICS YouTube,294,3614,0.8893070786698742,False
fingerprint,fakemusiccaps,AB: YouTube lossless,73,3614,0.8750369567359811,False
fingerprint,sonics,FMC: MusicCaps 10 s,1102,3614,0.6010543791687298,False
fingerprint,sonics,Echoes: FMA 30 s,59,3614,0.779571909617026,False
fingerprint,sonics,SONICS: YouTube full,6882,3614,0.6798630306404734,True
fingerprint,sonics,AB: FMA mp3 30 s,150,3614,0.6331175059952039,False
