system,trainer,target,n_human,n_generated,auroc,in_summary
fst_mert,fakemusiccaps,echoes,59,742,0.9129699849239344,True
fst_mert,fakemusiccaps,sonics,2500,2500,0.92784184,False
fst_mert,fakemusiccaps,music8k,1102,3614,0.638832198236943,False
fst_mert,sonics,artifactbench,672,1259,0.7940010495858392,True
fst_mert,sonics,echoes,59,742,0.8700488830005938,True
fst_mert,sonics,fakemusiccaps,1102,5520,0.72555630079697,True
fst_mert,sonics,music8k,1102,3614,0.5089889138528629,False
fst_muq_frozen,artifactbench,echoes,59,742,0.9292338617570468,True
fst_muq_frozen,artifactbench,fakemusiccaps,1102,5520,0.8480499881638128,True
fst_muq_frozen,artifactbench,sonics,2500,2500,0.99948656,False
fst_muq_frozen,artifactbench,music8k,1102,3614,0.8391445296924543,False
fst_muq_frozen,echoes,artifactbench,864,1405,0.9003501054435219,True
fst_muq_frozen,echoes,fakemusiccaps,1102,5520,0.8135068156711118,True
fst_muq_frozen,echoes,sonics,2500,2500,0.9752204,False
fst_muq_frozen,echoes,music8k,1102,3614,0.8498593140007051,False
fst_muq_frozen,fakemusiccaps,artifactbench,864,1405,0.7677606432054831,True
fst_muq_frozen,fakemusiccaps,echoes,59,742,0.8752112933436887,True
fst_muq_frozen,fakemusiccaps,sonics,2500,2500,0.9498645600000002,False
fst_muq_frozen,fakemusiccaps,music8k,1102,3614,0.5809518237706359,False
fst_muq_frozen,sonics,artifactbench,672,1259,0.7084243447180302,True
fst_muq_frozen,sonics,echoes,59,742,0.784686372150395,True
fst_muq_frozen,sonics,fakemusiccaps,1102,5520,0.6676821950866673,True
fst_muq_frozen,sonics,music8k,1102,3614,0.465275692331797,False
muq_fst,artifactbench,echoes,59,742,0.9153227648590618,True
muq_fst,artifactbench,fakemusiccaps,1102,5520,0.8606713912780453,True
muq_fst,artifactbench,sonics,2500,2500,0.997064,False
muq_fst,artifactbench,music8k,1102,3614,0.8660299179335855,False
muq_fst,echoes,artifactbench,864,1405,0.9000131804402267,True
muq_fst,echoes,fakemusiccaps,1102,5520,0.8251147452589496,True
muq_fst,echoes,sonics,2500,2500,0.96599176,False
muq_fst,echoes,music8k,1102,3614,0.8764649874404538,False
muq_fst,fakemusiccaps,artifactbench,864,1405,0.7344371952023196,True
muq_fst,fakemusiccaps,echoes,59,742,0.8801681209740051,True
muq_fst,fakemusiccaps,sonics,2500,2500,0.8530441600000002,False
muq_fst,fakemusiccaps,music8k,1102,3614,0.5692213784465936,False
muq_fst,sonics,artifactbench,672,1259,0.8253237404969931,True
muq_fst,sonics,echoes,59,742,0.8752341358673308,True
muq_fst,sonics,fakemusiccaps,1102,5520,0.7994340823009549,True
muq_fst,sonics,music8k,1102,3614,0.5084288565238833,False
comoe_xcodec,artifactbench,echoes,59,742,0.8616428343003335,True
comoe_xcodec,artifactbench,fakemusiccaps,1102,5520,0.7721015314711066,True
comoe_xcodec,artifactbench,sonics,2500,2500,0.98884504,False
comoe_xcodec,artifactbench,music8k,1102,3614,0.7024816277091408,False
comoe_xcodec,echoes,artifactbench,862,1404,0.8618109676694363,True
comoe_xcodec,echoes,fakemusiccaps,1102,5520,0.6840772048186434,True
comoe_xcodec,echoes,sonics,2500,2500,0.9829506400000001,False
comoe_xcodec,echoes,music8k,1102,3614,0.6848805612776288,False
comoe_xcodec,fakemusiccaps,artifactbench,862,1404,0.7912113880791375,True
comoe_xcodec,fakemusiccaps,echoes,59,742,0.70980857965188,True
comoe_xcodec,fakemusiccaps,sonics,2500,2500,0.99613648,False
