system,condition,target,level,family,generator,n_human,n_generated,auroc
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9980523255813953
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Suno (mixed),860,80,0.8176453488372093
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Suno v3,860,30,0.9972868217054264
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Suno v3.5,860,29,0.9949478748997593
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Suno v4,860,100,0.7833837209302325
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio,860,100,0.8761395348837209
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio (AIME),860,30,0.8764341085271318
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9787936046511628
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.9261773255813954
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio (mixed),860,80,0.6879505813953488
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio CDN,860,18,0.6735788113695091
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.794938440492476
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Yue,Yue,860,100,0.9793488372093022
trajectory,artifactbench__without_Udio,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9983953488372093
trajectory,artifactbench__without_Udio,artifactbench,family,MusicGen,MusicGen,860,90,0.9885400516795866
trajectory,artifactbench__without_Udio,artifactbench,family,Riffusion,Riffusion,860,130,0.9195348837209303
trajectory,artifactbench__without_Udio,artifactbench,family,StableAudio,StableAudio,860,100,0.9888953488372092
trajectory,artifactbench__without_Udio,artifactbench,family,Suno,Suno,860,479,0.9343496625722193
trajectory,artifactbench__without_Udio,artifactbench,family,Udio,Udio,860,405,0.7824346827447604
trajectory,artifactbench__without_Udio,artifactbench,family,Yue,Yue,860,100,0.9850930232558139
trajectory,artifactbench__without_Udio,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9983953488372093
trajectory,artifactbench__without_Udio,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9977131782945736
trajectory,artifactbench__without_Udio,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.9992248062015504
trajectory,artifactbench__without_Udio,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.9686821705426356
trajectory,artifactbench__without_Udio,artifactbench,generator,Riffusion,Riffusion,860,100,0.9492906976744185
trajectory,artifactbench__without_Udio,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.8203488372093022
trajectory,artifactbench__without_Udio,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9975813953488373
trajectory,artifactbench__without_Udio,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.9802093023255813
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9975290697674419
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Google Chirp v3,860,80,0.9989680232558139
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9980813953488372
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Suno (mixed),860,80,0.8489970930232558
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Suno v3,860,30,0.9985271317829457
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Suno v3.5,860,29,0.9970729751403369
trajectory,artifactbench__without_Udio,artifactbench,generator,Suno,Suno v4,860,100,0.8119651162790698
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio,860,100,0.8115697674418605
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio (AIME),860,30,0.8482945736434109
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9090261627906977
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.8657558139534883
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio (mixed),860,80,0.5759593023255813
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio CDN,860,18,0.5883720930232558
trajectory,artifactbench__without_Udio,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.6841313269493845
trajectory,artifactbench__without_Udio,artifactbench,generator,Yue,Yue,860,100,0.9850930232558139
trajectory,artifactbench__count_control_Udio,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9993023255813953
trajectory,artifactbench__count_control_Udio,artifactbench,family,MusicGen,MusicGen,860,90,0.9912273901808786
trajectory,artifactbench__count_control_Udio,artifactbench,family,Riffusion,Riffusion,860,130,0.9057334525939178
trajectory,artifactbench__count_control_Udio,artifactbench,family,StableAudio,StableAudio,860,100,0.9846511627906978
trajectory,artifactbench__count_control_Udio,artifactbench,family,Suno,Suno,860,479,0.9221561392435792
trajectory,artifactbench__count_control_Udio,artifactbench,family,Udio,Udio,860,405,0.8534051105368934
trajectory,artifactbench__count_control_Udio,artifactbench,family,Yue,Yue,860,100,0.979546511627907
trajectory,artifactbench__count_control_Udio,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9993023255813953
trajectory,artifactbench__count_control_Udio,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9984496124031008
trajectory,artifactbench__count_control_Udio,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.9993410852713178
trajectory,artifactbench__count_control_Udio,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.9758914728682171
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Riffusion,Riffusion,860,100,0.9308604651162791
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.8219767441860465
trajectory,artifactbench__count_control_Udio,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9918372093023256
trajectory,artifactbench__count_control_Udio,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.9774651162790697
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9985610465116279
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Google Chirp v3,860,80,0.9992441860465117
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9978343023255813
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Suno (mixed),860,80,0.813968023255814
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Suno v3,860,30,0.9972868217054263
