system,trainer,target,subset,n_generated,n_human,auroc
learned_fusion,echoes,fakemusiccaps,unseen_brand_seen_class,2208,1102,0.9784934835213973
learned_fusion,echoes,fakemusiccaps,seen_brand_unseen_class,0,1102,
learned_fusion,echoes,fakemusiccaps,strict_unseen,1104,1102,0.9929739077829507
learned_fusion,echoes,fakemusiccaps,strict_unseen_disclosed,1104,1102,0.9929739077829507
learned_fusion,echoes,sonics,all,2500,2500,0.93783728
learned_fusion,echoes,sonics,seen_brand_seen_class,1702,2500,0.9789170387779083
learned_fusion,echoes,sonics,unseen_brand_seen_class,798,2500,0.8502210526315789
learned_fusion,echoes,sonics,seen_brand_unseen_class,0,2500,
learned_fusion,echoes,sonics,strict_unseen,0,2500,
learned_fusion,echoes,sonics,strict_unseen_disclosed,0,2500,
learned_fusion,echoes,music8k,all,3614,1102,0.9164340731798198
learned_fusion,echoes,music8k,seen_brand_seen_class,1659,1102,0.9925080050628534
learned_fusion,echoes,music8k,unseen_brand_seen_class,662,1102,0.6554767218076445
learned_fusion,echoes,music8k,seen_brand_unseen_class,0,1102,
learned_fusion,echoes,music8k,strict_unseen,1293,1102,0.9524333876534685
learned_fusion,echoes,music8k,strict_unseen_disclosed,1293,1102,0.9524333876534685
learned_fusion,fakemusiccaps,artifactbench,all,1404,862,0.8708149073578307
learned_fusion,fakemusiccaps,artifactbench,seen_brand_seen_class,190,862,0.9999511539870558
learned_fusion,fakemusiccaps,artifactbench,unseen_brand_seen_class,100,862,0.9994083526682135
learned_fusion,fakemusiccaps,artifactbench,seen_brand_unseen_class,0,862,
learned_fusion,fakemusiccaps,artifactbench,strict_unseen,1114,862,0.8372464770251639
learned_fusion,fakemusiccaps,artifactbench,strict_unseen_disclosed,230,862,0.8814637344900635
learned_fusion,fakemusiccaps,echoes,all,742,59,0.8686783315820732
learned_fusion,fakemusiccaps,echoes,seen_brand_seen_class,150,59,0.9584180790960453
learned_fusion,fakemusiccaps,echoes,unseen_brand_seen_class,177,59,0.9999042420760318
learned_fusion,fakemusiccaps,echoes,seen_brand_unseen_class,0,59,
learned_fusion,fakemusiccaps,echoes,strict_unseen,415,59,0.7802736369205636
learned_fusion,fakemusiccaps,echoes,strict_unseen_disclosed,143,59,0.8939196396823516
learned_fusion,fakemusiccaps,sonics,all,2500,2500,0.93434336
learned_fusion,fakemusiccaps,sonics,seen_brand_seen_class,0,2500,
learned_fusion,fakemusiccaps,sonics,unseen_brand_seen_class,0,2500,
learned_fusion,fakemusiccaps,sonics,seen_brand_unseen_class,0,2500,
learned_fusion,fakemusiccaps,sonics,strict_unseen,2500,2500,0.93434336
learned_fusion,fakemusiccaps,sonics,strict_unseen_disclosed,0,2500,
learned_fusion,fakemusiccaps,music8k,all,3614,1102,0.8403556646515817
learned_fusion,fakemusiccaps,music8k,seen_brand_seen_class,0,1102,
learned_fusion,fakemusiccaps,music8k,unseen_brand_seen_class,1651,1102,0.7639653028852338
learned_fusion,fakemusiccaps,music8k,seen_brand_unseen_class,0,1102,
learned_fusion,fakemusiccaps,music8k,strict_unseen,1963,1102,0.9046045119650004
learned_fusion,fakemusiccaps,music8k,strict_unseen_disclosed,1293,1102,0.9164291038019883
learned_fusion,sonics,artifactbench,all,1258,670,0.9212111145385947
learned_fusion,sonics,artifactbench,seen_brand_seen_class,658,670,0.8893186045456608
learned_fusion,sonics,artifactbench,unseen_brand_seen_class,80,670,1.0
learned_fusion,sonics,artifactbench,seen_brand_unseen_class,0,670,
