system,trainer,target,carried_fpr,carried_tpr,paired_carried_fpr,paired_carried_tpr,recalibrated_fpr,recalibrated_tpr,n_human_test
fst_mert,artifactbench,music8k,0.3494,0.9125999999999999,,,,,
fst_mert,echoes,artifactbench,0.0231,0.5400999999999999,0.022590361445783132,0.5402135231316726,0.0391566265060241,0.6462633451957296,664.0
fst_mert,echoes,fakemusiccaps,0.1751,0.4125000000000001,0.17516629711751663,0.4125,0.03547671840354767,0.08333333333333333,902.0
fst_mert,echoes,sonics,0.0836,0.7148,,,,,
fst_mert,echoes,music8k,0.1751,0.7863,,,,,
fst_mert,fakemusiccaps,artifactbench,0.0046,0.16360000000000002,0.006024096385542169,0.16370106761565836,0.0572289156626506,0.5188612099644128,664.0
fst_mert,fakemusiccaps,echoes,0.0169,0.28169999999999995,,,,,
fst_mert,fakemusiccaps,sonics,0.0032,0.2292,,,,,
fst_mert,fakemusiccaps,music8k,0.049,0.09359999999999997,,,,,
fst_mert,sonics,artifactbench,0.3125,0.7537,0.3093220338983051,0.7537728355837967,0.07415254237288135,0.4011119936457506,472.0
fst_mert,sonics,echoes,0.1186,0.7142,,,,,
fst_mert,sonics,fakemusiccaps,0.373,0.6936,0.3780487804878049,0.6934782608695652,0.037694013303769404,0.19492753623188405,902.0
fst_mert,sonics,music8k,0.373,0.3216,,,,,
fst_muq_frozen,artifactbench,echoes,0.1864,0.8692000000000001,,,,,
fst_muq_frozen,artifactbench,fakemusiccaps,0.2849,0.8130999999999999,0.2982261640798226,0.8132246376811594,0.058758314855875834,0.4358695652173913,902.0
fst_muq_frozen,artifactbench,sonics,0.0576,0.9999999999999999,,,,,
fst_muq_frozen,artifactbench,music8k,0.2849,0.7996999999999999,,,,,
fst_muq_frozen,echoes,artifactbench,0.1458,0.807,0.15210843373493976,0.80711743772242,0.07981927710843373,0.7451957295373666,664.0
fst_muq_frozen,echoes,fakemusiccaps,0.3811,0.8439000000000001,0.38802660753880264,0.8440217391304348,0.04988913525498891,0.2797101449275362,902.0
fst_muq_frozen,echoes,sonics,0.2052,0.968,,,,,
fst_muq_frozen,echoes,music8k,0.3811,0.9187000000000001,,,,,
fst_muq_frozen,fakemusiccaps,artifactbench,0.0116,0.2683999999999999,0.015060240963855422,0.2683274021352313,0.08433734939759036,0.504626334519573,664.0
fst_muq_frozen,fakemusiccaps,echoes,0.0339,0.4460999999999999,,,,,
fst_muq_frozen,fakemusiccaps,sonics,0.0044,0.3319999999999999,,,,,
fst_muq_frozen,fakemusiccaps,music8k,0.049,0.04919999999999998,,,,,
fst_muq_frozen,sonics,artifactbench,0.1369,0.5131000000000001,0.13559322033898305,0.5131056393963463,0.023305084745762712,0.28594122319301035,472.0
fst_muq_frozen,sonics,echoes,0.0847,0.5430999999999999,,,,,
fst_muq_frozen,sonics,fakemusiccaps,0.1633,0.4215,0.1541019955654102,0.42155797101449277,0.03325942350332594,0.16684782608695653,902.0
fst_muq_frozen,sonics,music8k,0.1633,0.06330000000000002,,,,,
muq_fst,artifactbench,echoes,0.1017,0.7601000000000001,,,,,
muq_fst,artifactbench,fakemusiccaps,0.2713,0.8249000000000001,0.2860310421286031,0.825,0.06984478935698447,0.5146739130434783,902.0
muq_fst,artifactbench,sonics,0.102,0.9972,,,,,
muq_fst,artifactbench,music8k,0.2713,0.8321,,,,,
